Last Night,
Flowers,
Fast Car,
Calm Down (with Selena Gomez),
All My Life (feat. J. Cole),
Favorite Song,
Kill Bill,
Creepin' (with The Weeknd & 21 Savage),
Karma (feat. Ice Spice),
Ella Baila Sola,
Sure Thing,
Anti-Hero,
Die For You - Remix,
Something in the Orange,
Snooze,
La Bebe - Remix,
WHERE SHE GOES,
un x100to,
Need A Favor,
Search & Rescue,
You Proof,
Thinkin’ Bout Me,
Chemical,
Cupid,
Rock and A Hard Place,
Eyes Closed,
Boy's a Liar Pt. 2,
Next Thing You Know,
Put It On Da Floor Again (feat. Cardi B),
Thought You Should Know,
I'm Good (Blue),
Dance The Night (From Barbie The Album),
Area Codes,
Dancin’ In The Country,
One Thing At A Time,
Memory Lane,
Peso Pluma: Bzrp Music Sessions Vol. 55,
Tennessee Orange,
Cruel Summer,
TQM,
Stand By Me (feat. Morgan Wallen),
Religiously,
Dial Drunk,
Under The Influence,
Players,
Calling (Spider-Man: Across the Spider-Verse) ,
Annihilate (Spider-Man: Across the Spider-Verse) ,
Take Two,
Love You Anyway,
Thank God,
Am I Dreaming ,
Princess Diana ,
Bye,
Self Love (Spider-Man: Across the Spider-Verse) ,
It Matters To Her,
Daylight,
PRC,
Por las Noches,
Mourning,
What It Is (Block Boy) (with Kodak Black),
See You Again (feat. Kali Uchis),
TQG,
El Azul,
Bury Me in Georgia,
Waffle House,
"You, Me, And Whiskey",
Your Heart Or Mine,
PLEBADA,
Cowgirls (feat. ERNEST),
ICU,
Baby Don't Hurt Me,
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),
SLUT ME OUT,
Peaches & Eggplants (feat. 21 Savage),
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),
Fight The Feeling,
Ain’t That Some,
SHAKE SUMN,
Chanel,
People,
bread & butter,
TRUSTFALL,
Frágil,
Hits Different,
Jaded,
Pound Town 2 (feat. Nicki Minaj & Tay Keith),
Low Down,
Ocean Spray,
TRUCK BED,
Moonlight,
Trance (with Travis Scott & Young Thug),
All The Way Live (Spider-Man: Across the Spider-Verse) , Lil Uzi Vert)
The Hillbillies,
El Gordo Trae El Mando,
Too Many Nights (feat. Don Toliver & with Future),
Save Me,
Yandel 150,
BESO,
I Wrote The Book,
Hummingbird (Metro Boomin & James Blake),
